text,aspect,polarity,lang
"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto",service,neutral,fr
"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto",plats,neg,fr
"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto",sauces,neg,fr
"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto",general,neutral,fr
"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto",general,neg,fr
"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto",resto,neg,fr
"Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service.",ambiance,pos,fr
"Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service.",promenade,pos,fr
"Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service.",service,pos,fr
Nous reviendrons!,general,pos,fr
"on s'attendait à mieux (attente, qualité moyenne).",attente,neg,fr
"on s'attendait à mieux (attente, qualité moyenne).",general,neg,fr
"Pas mal, mais sans plus.",general,neutral,fr
Nous ne pensons pas y retourner,general,neg,fr
Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire,adresse,pos,fr
Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire,vue,pos,fr
Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire,cuisine,pos,fr
Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire,service,pos,fr
"Une petite dame nous accueille sans le sourire mais surtout sans enthousiasme, ça devait l'énerver d'avoir des clients un mardi soir .... 3 tables.",general,neg,fr
"On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !",lasagnes,neg,fr
"On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !",fromage,neg,fr
"On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !",concentré de tomates,neg,fr
Dessert tout sauf maison .... !,Dessert,neg,fr
"Je ne conseille vraiment pas, même si votre frigo est vide et que les autres restau d'à côté sont pleins et que vous ne savez pas où aller .....",general,neg,fr
Vraiment très agréablement surpris!,general,pos,fr
Le menu du jour est très bon et bien servi!,menu du jour,pos,fr
Le menu du jour est très bon et bien servi!,general,pos,fr
