text,aspect,polarity,lang
"А попа подозревала давно,что ты с кавказа..перестану общаться с тобой",general,neg,en
"Блин, почему эта жизнь столь не справедлива ((((",general,neg,en
"Решите уравнение мужских дел для жизни :
Домов - 3
Деревьев - 5 
Сыновей - ?",general,neutral,en
патамушта я крутая баба! ееее!!,general,pos,en
Просто пост :),general,neutral,en
урря!я дождался этой овцыы),general,pos,en
Наша гордость !,general,pos,en
"Походу, первым кто поздравил меня с 1 апреля - это РЖД, 40 мин жду электричку",general,neg,en
познакомил свою девушку с Ксюшей,general,neutral,en
Тесака арестовали...,general,neg,en
ТЫ МОЕ МАЛЕНЬКОЕ СЧАСТЬЕ !!!!!!! Я ТЕБЯ ЛЮБЛЮ ОЧЕНЬ СИЛЬНО !!!!!!!!!,general,pos,en
В этом﻿ ролике прекрасно абсолютно всё.,general,pos,en
"Рекомендую смотреть это видео, раскрыв на весь экран, указав хорошее качество HD в плеере youtube и в наушниках )) Фоновый голос: Флигинских Александр.",general,neutral,en
Гопник на деревне. Разбить бутылку монетой. А вам слабо?,general,pos,en
"Не позволяйте женщине быть сильной… Ведь силой наделен мужчина. 
Позвольте ей быть слабой, беззащитной. Прижаться робко к крепкому плечу. 
Дарите ей тепло, любовь и верность. В ответ она вам даст уют и нежность. 
Сиянье глаз — влюбленных и счастливых. В природе не должно быть женщин сильных",general,neutral,en
Сказочный мир),general,pos,en
не по дням а по часам,general,neutral,en
Ыыыы)))Мне снова кто-то пополнил счёт))))),general,pos,en
"хах,...витаминчики)))**",general,pos,en
"YOUTUBE ввел нововведение: теперь видеохостинг не отображает просмотры, собранный роликами на сторонних сайтах. #мнененравится",general,neg,en
"Торт ""Бильярдный стол""",general,neutral,en
"Финал ББешечки, красиво стильно",general,pos,en
Украину могла бы спасти федерализация,general,neutral,en
Написал колонку про Жанну и Смерть,general,neutral,en
переходи по ссылке и выбирай любую,general,neutral,en
"4 года без...
Помним",general,neg,en
Сегодня получил студенческий ),general,neutral,en
это то шо я на вышке пел)),general,neutral,en
"ларис,еды надо)))",general,neutral,en
"соскучилась по тебе, дружище",general,neg,en
Отдыхаем на Родине,general,neutral,en
я буду жить вечно),general,pos,en
"Нужен активный человек, который бывает разных местах Самары и может хорошо выражать своё мнение. Вы такой? напишите",general,neutral,en
"Завязывай с тотализатором, пока все деньги не просадил.",general,neg,en
"Хомячуля, все для тебе☺",general,pos,en
удачное лето,general,pos,en
как называется это так сказать танец??,general,neutral,en
вот оригинал!!!!!!,general,neutral,en
Кажется кому-то нужен директор по свежести,general,neg,en
На пляж по традиции😄🏄🏼☝🏾️#выпускной #prom,general,pos,en
=) может ты и видела уже),general,neutral,en
Я поссал на первый снег =DDя собой теперь доволен =DD пхахахаххаха))**,general,pos,en
После тренировки,general,neutral,en
Искусство моей сестренки!!!,general,neutral,en
Кто вечером на вейкборд компанию составит?,general,neutral,en
"Дорогие товарищи! Если после просмотра данной киноленты вы всё ещё будете хотеть мясца, колбасы и прочей дряни... Мне вас жаль. Мне жалко бедных и неразумных животных, но этот проклятый мир - тупая мясорубка, и пока с этим ничего не поделать. Прошу слабонервным не смотреть(пусть за вас домыслит ваш серый биологический процессор). Нет, я серьёзно, зачем вам, если вдруг что, блевота на клавиатуре/столе/одежде? Посмотрели? Ну как? Ах да, и я о5 совсем забыл спросить: вот сейчас, вы всё ещё хотите пельмешек?",general,neg,en
"любви точка нет,любви нет и точка...",general,neg,en
"Просто быть рядом… Прижавшись… Чувствовать тепло, слышать трепет дыханья… знакомый запах… просто молчать… счастье. ©",general,pos,en
по Батуми гуляют чипованые дворняги,general,neutral,en
"никто
не
знает
где
стакан",general,neutral,en
Прости меня я ошибся!!!!!!Я не поверил тебе!!,general,neg,en
Рождение - это Великое Чудо,general,pos,en
"Техническая поддержка #nod32 на высоте. 4 дня ждал ответа от российской ТП. Ладно хоть сказали, какой файл стал причиной блокировки моего сайта их антивирусом. И их не волнует, что это текстовый файл, защищённый паролем. За подробностями отправили в англоязычную ТП, которая молчит уже неделю, даже никакого письма о подтверждении получения моего письма не прислали.",general,neg,en
Вот тебе няшку:)*,general,pos,en
Февраль пахнет весной,general,neutral,en
Весенняя задачка,general,neutral,en
"У нас тут в А2 саундчек Гриши Урганта и ребят из Science Slam.

Один из музыкантов, говорят, упал со сцены. Наши ребята пока держатся;)",general,pos,en
Сезон любования сакурой и у нас тоже.,general,neutral,en
"Минус одиночества в том, что через время
начинаешь получать от этого кайф. И
просто не пускаешь никого в свою жизнь.",general,neg,en
Поумиляйтесь немного.),general,pos,en
ты вроде кошачье любишь ;),general,neutral,en
Хочется обнять кого согреть любовью а самому скучно жить если было бы щястье я бы все сделал для любви и пусть которой она заслуживает,general,neg,en
"Приходи, Тебе ВСЁ понравится!.. ;)",general,pos,en
"Хочу кран, из которого идет оливье.",general,pos,en
Просто космос!,general,pos,en
"Ващеее круууто)), супер, музыка и видос)",general,pos,en
успешно проебали лето.,general,neg,en
это тебе чтобы каждый день был сладким!!!:-):-):-):-)😊,general,pos,en
"Нет, я не за #ЗОЖ",general,neutral,en
Моя мама ...,general,neutral,en
на Чаки очень похож )))),general,neutral,en
Моя любимая фоточка),general,pos,en
Не забываем смотреть и комментить фотки,general,neutral,en
а мы вот вчера под блюз тусили),general,pos,en
"Ну ,я подозревала это .",general,neutral,en
"как поет, как поет)",general,pos,en
иихуу))) ещё на год постарел))),general,pos,en
