text,aspect,polarity,lang
I charge it at night and skip taking the cord with me because of the good battery life.,cord,neutral,en
I charge it at night and skip taking the cord with me because of the good battery life.,battery life,pos,en
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,neg,en
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",neg,en
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,neutral,en
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,pos,en
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,pos,en
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,pos,en
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,pos,en
Easy to start up and does not overheat as much as other laptops.,start up,pos,en
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,pos,en
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,pos,en
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,pos,en
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,pos,en
Great laptop that offers many great features!,features,pos,en
"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,neg,en
"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,neg,en
"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,neutral,en
"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive ligh,neg,en
"My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).",processor,neg,en
"My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).",graphics cards,neg,en
"My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).",battery life,pos,en
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,neutral,en
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,pos,en
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,neg,en
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,pos,en
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,pos,en
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,neutral,en
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,neutral,en
I love the way the entire suite of software works together.,suite of software,pos,en
The speed is incredible and I am more than satisfied.,speed,pos,en
This laptop meets every expectation and Windows 7 is great!,Windows 7,pos,en
I can barely use any usb devices because they will not stay connected properly.,usb devices,neg,en
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,neutral,en
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,neg,en
"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,neg,en
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,pos,en
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",pos,en
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,neutral,en
The machine is slow to boot up and occasionally crashes completely.,boot up,neg,en
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,neg,en
I love the operating system and the preloaded software.,operating system,pos,en
