text,aspect,polarity,lang
"А попа подозревала давно,что ты с кавказа..перестану общаться с тобой",general,neg,ru
"Блин, почему эта жизнь столь не справедлива ((((",general,neg,ru
"Решите уравнение мужских дел для жизни :
Домов - 3
Деревьев - 5 
Сыновей - ?",general,neutral,ru
патамушта я крутая баба! ееее!!,general,pos,ru
Просто пост :),general,neutral,ru
урря!я дождался этой овцыы),general,pos,ru
Наша гордость !,general,pos,ru
"Походу, первым кто поздравил меня с 1 апреля - это РЖД, 40 мин жду электричку",general,neg,ru
познакомил свою девушку с Ксюшей,general,neutral,ru
Тесака арестовали...,general,neg,ru
ТЫ МОЕ МАЛЕНЬКОЕ СЧАСТЬЕ !!!!!!! Я ТЕБЯ ЛЮБЛЮ ОЧЕНЬ СИЛЬНО !!!!!!!!!,general,pos,ru
В этом﻿ ролике прекрасно абсолютно всё.,general,pos,ru
"Рекомендую смотреть это видео, раскрыв на весь экран, указав хорошее качество HD в плеере youtube и в наушниках )) Фоновый голос: Флигинских Александр.",general,neutral,ru
Гопник на деревне. Разбить бутылку монетой. А вам слабо?,general,pos,ru
"Не позволяйте женщине быть сильной… Ведь силой наделен мужчина. 
Позвольте ей быть слабой, беззащитной. Прижаться робко к крепкому плечу. 
Дарите ей тепло, любовь и верность. В ответ она вам даст уют и нежность. 
Сиянье глаз — влюбленных и счастливых. В природе не должно быть женщин сильных",general,neutral,ru
Сказочный мир),general,pos,ru
не по дням а по часам,general,neutral,ru
Ыыыы)))Мне снова кто-то пополнил счёт))))),general,pos,ru
"хах,...витаминчики)))**",general,pos,ru
"YOUTUBE ввел нововведение: теперь видеохостинг не отображает просмотры, собранный роликами на сторонних сайтах. #мнененравится",general,neg,ru
"Торт ""Бильярдный стол""",general,neutral,ru
"Финал ББешечки, красиво стильно",general,pos,ru
Украину могла бы спасти федерализация,general,neutral,ru
Написал колонку про Жанну и Смерть,general,neutral,ru
переходи по ссылке и выбирай любую,general,neutral,ru
"4 года без...
Помним",general,neg,ru
Сегодня получил студенческий ),general,neutral,ru
это то шо я на вышке пел)),general,neutral,ru
"ларис,еды надо)))",general,neutral,ru
"соскучилась по тебе, дружище",general,neg,ru
Отдыхаем на Родине,general,neutral,ru
я буду жить вечно),general,pos,ru
"Нужен активный человек, который бывает разных местах Самары и может хорошо выражать своё мнение. Вы такой? напишите",general,neutral,ru
"Завязывай с тотализатором, пока все деньги не просадил.",general,neg,ru
"Хомячуля, все для тебе☺",general,pos,ru
удачное лето,general,pos,ru
как называется это так сказать танец??,general,neutral,ru
вот оригинал!!!!!!,general,neutral,ru
Кажется кому-то нужен директор по свежести,general,neg,ru
На пляж по традиции😄🏄🏼☝🏾️#выпускной #prom,general,pos,ru
=) может ты и видела уже),general,neutral,ru
Я поссал на первый снег =DDя собой теперь доволен =DD пхахахаххаха))**,general,pos,ru
После тренировки,general,neutral,ru
Искусство моей сестренки!!!,general,neutral,ru
Кто вечером на вейкборд компанию составит?,general,neutral,ru
"Дорогие товарищи! Если после просмотра данной киноленты вы всё ещё будете хотеть мясца, колбасы и прочей дряни... Мне вас жаль. Мне жалко бедных и неразумных животных, но этот проклятый мир - тупая мясорубка, и пока с этим ничего не поделать. Прошу слабонервным не смотреть(пусть за вас домыслит ваш серый биологический процессор). Нет, я серьёзно, зачем вам, если вдруг что, блевота на клавиатуре/столе/одежде? Посмотрели? Ну как? Ах да, и я о5 совсем забыл спросить: вот сейчас, вы всё ещё хотите пельмешек?",general,neg,ru
"любви точка нет,любви нет и точка...",general,neg,ru
"Просто быть рядом… Прижавшись… Чувствовать тепло, слышать трепет дыханья… знакомый запах… просто молчать… счастье. ©",general,pos,ru
по Батуми гуляют чипованые дворняги,general,neutral,ru
"никто
не
знает
где
стакан",general,neutral,ru
Прости меня я ошибся!!!!!!Я не поверил тебе!!,general,neg,ru
Рождение - это Великое Чудо,general,pos,ru
"Техническая поддержка #nod32 на высоте. 4 дня ждал ответа от российской ТП. Ладно хоть сказали, какой файл стал причиной блокировки моего сайта их антивирусом. И их не волнует, что это текстовый файл, защищённый паролем. За подробностями отправили в англоязычную ТП, которая молчит уже неделю, даже никакого письма о подтверждении получения моего письма не прислали.",general,neg,ru
Вот тебе няшку:)*,general,pos,ru
Февраль пахнет весной,general,neutral,ru
Весенняя задачка,general,neutral,ru
"У нас тут в А2 саундчек Гриши Урганта и ребят из Science Slam.

Один из музыкантов, говорят, упал со сцены. Наши ребята пока держатся;)",general,pos,ru
Сезон любования сакурой и у нас тоже.,general,neutral,ru
"Минус одиночества в том, что через время
начинаешь получать от этого кайф. И
просто не пускаешь никого в свою жизнь.",general,neg,ru
Поумиляйтесь немного.),general,pos,ru
ты вроде кошачье любишь ;),general,neutral,ru
